Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Cook Islands,Life expectancy,Total,2018,,Units,Years,,,,,,,,UNPD2019,,,,,,
Costa Rica,Life expectancy,Total,1970,65.844,Units,Years,,,,,,,,UNPD2019,,,,,,
Costa Rica,Life expectancy,Total,2000,77.452,Units,Years,,,,,,,,UNPD2019,,,,,,
Costa Rica,Life expectancy,Total,2018,80.095,Units,Years,,,,,,,,UNPD2019,,,,,,
Croatia,Life expectancy,Total,1970,68.341,Units,Years,,,,,,,,UNPD2019,,,,,,
Croatia,Life expectancy,Total,2000,74.794,Units,Years,,,,,,,,UNPD2019,,,,,,
Croatia,Life expectancy,Total,2018,78.342,Units,Years,,,,,,,,UNPD2019,,,,,,
Cuba,Life expectancy,Total,1970,69.809,Units,Years,,,,,,,,UNPD2019,,,,,,
Cuba,Life expectancy,Total,2000,76.699,Units,Years,,,,,,,,UNPD2019,,,,,,
Cuba,Life expectancy,Total,2018,78.726,Units,Years,,,,,,,,UNPD2019,,,,,,
Cyprus,Life expectancy,Total,1970,72.576,Units,Years,,,,,,,,UNPD2019,,,,,,
Cyprus,Life expectancy,Total,2000,78.009,Units,Years,,,,,,,,UNPD2019,,,,,,
Cyprus,Life expectancy,Total,2018,80.828,Units,Years,,,,,,,,UNPD2019,,,,,,
Czechia,Life expectancy,Total,1970,69.942,Units,Years,,,,,,,,UNPD2019,,,,,,
Czechia,Life expectancy,Total,2000,74.899,Units,Years,,,,,,,,UNPD2019,,,,,,
Czechia,Life expectancy,Total,2018,79.222,Units,Years,,,,,,,,UNPD2019,,,,,,
Côte d'Ivoire,Life expectancy,Total,1970,44.123,Units,Years,,,,,,,,UNPD2019,,,,,,
Côte d'Ivoire,Life expectancy,Total,2000,49.635,Units,Years,,,,,,,,UNPD2019,,,,,,
Côte d'Ivoire,Life expectancy,Total,2018,57.422,Units,Years,,,,,,,,UNPD2019,,,,,,
