Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Senegal,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,8.4,,%,Reported,Free,,,,,,Continuous DHS 2017,,,End of fieldwork,,2017,20 to 24 years old
Serbia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,0.3,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Sierra Leone,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2017,12.9,,%,Reported,Free,,,,,,MICS 2017,,,End of fieldwork,,2017,20 to 24 years old
Solomon Islands,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2015,5.6,,%,Reported,Free,,,,,,DHS 2015,,,End of fieldwork,,2015,20 to 24 years old
Somalia,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2006,8.4,,%,Reported,Free,,,,,,MICS 2006,,,End of fieldwork,,2006,20 to 24 years old
South Africa,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,0.9,,%,Reported,Free,,,,Note low response rate (81%),,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
South Sudan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2010,8.9,,%,Reported,Free,,,,,,SHHS-2 2010,,,End of fieldwork,,2010,20 to 24 years old
Sri Lanka,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2016,0.9,,%,Reported,Free,,,,,,DHS 2016,,,End of fieldwork,,2016,20 to 24 years old
State of Palestine,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,1,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Sudan,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2014,11.9,,%,Reported,Free,,,,,,MICS 2014,,,End of fieldwork,,2014,20 to 24 years old
Suriname,Percentage of women (aged 20-24 years) married or in union before age 15,Total,2018,8.8,,%,Reported,Free,,,,Includes reference to visiting unions,,MICS 2018,,,End of fieldwork,,2018,20 to 24 years old
